,nearby,devices,datetime,location
344,1,Passport Wallet,2022-05-11 17:05:03.077835,Beacon3
345,1,iPhone 8 Plus,2022-05-11 17:05:08.135506,Beacon1
346,1,House Keys,2022-05-11 17:05:08.141184,Beacon1
347,1,Wallet,2022-05-11 17:05:08.146487,Beacon1
348,1,Bose SoundLink,2022-05-11 17:05:08.150482,Beacon2
349,1,Passport Wallet,2022-05-11 17:05:08.154248,Beacon3
350,1,iPhone 8 Plus,2022-05-11 17:05:13.208407,Beacon1
351,1,House Keys,2022-05-11 17:05:13.213028,Beacon1
352,1,Wallet,2022-05-11 17:05:13.218031,Beacon1
353,1,Bose SoundLink,2022-05-11 17:05:13.226238,Beacon2
354,1,Passport Wallet,2022-05-11 17:05:13.230733,Beacon3
355,1,iPhone 8 Plus,2022-05-11 17:05:18.291212,Beacon1
356,1,House Keys,2022-05-11 17:05:18.297356,Beacon1
357,1,Wallet,2022-05-11 17:05:18.303229,Beacon1
358,1,Bose SoundLink,2022-05-11 17:05:18.307653,Beacon2
359,1,Passport Wallet,2022-05-11 17:05:18.312154,Beacon3
360,1,iPhone 8 Plus,2022-05-11 17:05:23.366874,Beacon1
361,1,House Keys,2022-05-11 17:05:23.374145,Beacon1
362,1,Wallet,2022-05-11 17:05:23.379228,Beacon1
363,1,Bose SoundLink,2022-05-11 17:05:23.384438,Beacon2
364,1,Passport Wallet,2022-05-11 17:05:23.388434,Beacon3
365,1,iPhone 8 Plus,2022-05-11 17:05:28.443690,Beacon1
366,1,House Keys,2022-05-11 17:05:28.451378,Beacon1
367,1,Wallet,2022-05-11 17:05:28.456297,Beacon1
368,1,Bose SoundLink,2022-05-11 17:05:28.460748,Beacon2
369,1,Passport Wallet,2022-05-11 17:05:28.464472,Beacon3
370,1,iPhone 8 Plus,2022-05-11 17:05:33.521332,Beacon1
371,1,House Keys,2022-05-11 17:05:33.528579,Beacon1
372,1,Wallet,2022-05-11 17:05:33.533949,Beacon1
373,1,Bose SoundLink,2022-05-11 17:05:33.538564,Beacon2
374,1,Passport Wallet,2022-05-11 17:05:33.542465,Beacon3
375,1,iPhone 8 Plus,2022-05-11 17:05:38.596343,Beacon1
376,1,House Keys,2022-05-11 17:05:38.601981,Beacon1
377,1,Wallet,2022-05-11 17:05:38.607175,Beacon1
378,1,Bose SoundLink,2022-05-11 17:05:38.611472,Beacon2
379,1,Passport Wallet,2022-05-11 17:05:38.615282,Beacon3
380,1,iPhone 8 Plus,2022-05-11 17:05:43.668642,Beacon1
381,1,House Keys,2022-05-11 17:05:43.677171,Beacon1
382,1,Wallet,2022-05-11 17:05:43.681400,Beacon1
383,1,Bose SoundLink,2022-05-11 17:05:43.685233,Beacon2
384,1,Passport Wallet,2022-05-11 17:05:43.689643,Beacon3
385,1,iPhone 8 Plus,2022-05-11 17:05:53.808835,Beacon1
386,1,House Keys,2022-05-11 17:05:53.815777,Beacon1
387,1,Wallet,2022-05-11 17:05:53.821613,Beacon1
388,1,Bose SoundLink,2022-05-11 17:05:53.826106,Beacon2
389,1,Passport Wallet,2022-05-11 17:05:53.830015,Beacon3
390,1,iPhone 8 Plus,2022-05-11 17:05:58.885986,Beacon1
391,1,House Keys,2022-05-11 17:05:58.891987,Beacon1
392,1,Wallet,2022-05-11 17:05:58.897647,Beacon1
393,1,Bose SoundLink,2022-05-11 17:05:58.901856,Beacon2
394,1,Passport Wallet,2022-05-11 17:05:58.905468,Beacon3
395,1,iPhone 8 Plus,2022-05-11 17:06:03.975407,Beacon1
396,1,House Keys,2022-05-11 17:06:03.982390,Beacon1
397,1,Wallet,2022-05-11 17:06:03.987334,Beacon1
398,1,Bose SoundLink,2022-05-11 17:06:03.992232,Beacon2
399,1,Passport Wallet,2022-05-11 17:06:03.996415,Beacon3
400,1,iPhone 8 Plus,2022-05-11 17:06:09.053772,Beacon1
401,1,House Keys,2022-05-11 17:06:09.060888,Beacon1
402,1,Wallet,2022-05-11 17:06:09.065993,Beacon1
403,1,Bose SoundLink,2022-05-11 17:06:09.070931,Beacon2
404,1,Passport Wallet,2022-05-11 17:06:09.074839,Beacon3
405,1,iPhone 8 Plus,2022-05-11 17:06:14.130488,Beacon1
406,1,House Keys,2022-05-11 17:06:14.138127,Beacon1
407,1,Wallet,2022-05-11 17:06:14.143341,Beacon1
408,1,Bose SoundLink,2022-05-11 17:06:14.147985,Beacon2
409,1,Passport Wallet,2022-05-11 17:06:14.151674,Beacon3
410,1,iPhone 8 Plus,2022-05-11 17:06:24.266449,Beacon1
411,1,House Keys,2022-05-11 17:06:24.272443,Beacon1
412,1,Wallet,2022-05-11 17:06:24.277166,Beacon1
413,1,Bose SoundLink,2022-05-11 17:06:24.281808,Beacon2
